"","X","ASR","num_gaps","scaffold_count","scaffold_N50","contig_count","contig_N50","gap_length","gap_length_per","CDSs","CDSs_model","CDSs_known","CDSs_fully_supported","CDSs_ab_initio","CDSs_model_per","CDSs_known_per","CDSs_fully_supported_per","CDSs_ab_initio_per","Length_mean_genes","Length_mean_transcripts","Length_mean_cds","Length_mean_exons","Length_mean_introns","Num_proteins","Num_transcripts","Num_proteins_hsapiens","Num_transcripts_hsapiens","Num_rnaseq_reads","Num_tissues","Num_runs","ASR_predicho","ASR_normalizado_division","ASR_normalizado_resta","ASR_normalizado_resta_min"
"30",29,3.20835212827282,2345,2043,76025729,2042,5365398,234500,0.000112357183096004,54601,54514,5,53050,827,0.99840662258933,9.15734144063295e-05,0.971593926851157,0.0151462427428069,37441.1,3372.94,2063.56,359.279,6013.36,251862,94704,201080,0,3134927532,23,68,2.91458205552228,1.10079320710629,0.293770072750542,2.60405534243987
"31",30,3.06213160938137,867,106,110314666,105,6315640,25937074,0.0109214759308931,52306,52246,13,50407,1080,0.998852904064543,0.000248537452682293,0.963694413642794,0.0206477268382212,45441.9,3096.12,1989.39,301.331,6220.91,111891,116889,60804,0,626869776,9,11,2.66813095318515,1.1476691598386,0.394000656196211,2.70428592588554
"32",31,7.47329345019594,0,24,150617247,24,0,0,0,199971,131368,67638,190888,4079,0.656935255612064,0.338239044661476,0.954578413870011,0.0203979577038671,40276.3,3931.66,2185.48,469.912,8421.69,0,0,0,0,0,0,0,2.43012844564565,3.07526685002463,5.04316500455029,7.35345027423962
"33",32,1.78603815222187,5674,2173,158824752,2172,1635336,552721,0.000231964055040631,35713,35475,0,33554,1079,0.993335760087363,0,0.939545823649651,0.0302130876711562,34970.8,2533.6,1761.16,275.612,4958.5,193980,1238435,56763,0,1561499170,4,28,2.13097380599542,0.8381323821048,-0.344935653773546,1.96534961591579
"34",33,4.88004011667546,1165,1233,136971485,1233,13222669,13690514,0.0047621423118148,83289,82934,220,82044,768,0.995737732473676,0.00264140522758107,0.985052047689371,0.00922090552173756,44286.6,4406.63,2217.69,521.919,8305.91,251761,9597755,216923,9092851,8166920690,46,90,3.43277565432293,1.42160181966158,1.44726446235253,3.75754973204186
"35",34,1.73469611233144,1795,212,442560073,211,4314688,18696456,0.00556550188628628,35644,35529,13,32176,1817,0.996773650544271,0.000364717764560655,0.902704522500281,0.0509763214005162,48512.9,2804.37,1797.36,288.245,6392.6,144371,574768,60129,0,510370681,8,9,1.75301436892387,0.989550424162424,-0.0183182565924298,2.2919670130969
"36",35,2.0482769438132,1624,1595,82689117,1595,11143170,20289527,0.0081263378595965,41699,41473,0,39612,981,0.99458020576033,0,0.949950838149596,0.0235257440226384,35218.9,2688.19,1817.95,284.6,4875.11,175011,7005593,57234,396967,266678898,2,6,2.3264985926638,0.880411855941837,-0.278221648850593,2.03206362083874
"37",36,3.36881327305177,674,362,108430135,361,9729386,6222516,0.0026161269236799,55802,55701,38,53978,1030,0.998190029031218,0.000680979176373607,0.967312999534067,0.018458119780653,43514.4,3432.42,2040.96,364.166,6151,107916,500537,56996,396570,6320598233,3,397,2.77612003968057,1.21349697595908,0.592693233371202,2.90297850306053
"38",37,3.68625499688997,575,376,64037277,376,12024593,12662630,0.00528301152655335,307865,304828,2230,298554,5269,0.990135286570412,0.00724343462231822,0.969756224319101,0.0171146444058272,33902.3,2941.18,2009.1,333.76,6932.87,65602,9325837,60888,0,5307763318,28,36,2.85368379917757,1.29175313605255,0.832571197712402,3.14285646740173
"39",38,2.81724505631091,1239,146,146178362,145,20994632,80992395,0.0251943659704852,54704,54527,0,51267,1800,0.996764404796724,0,0.937170956420006,0.032904357999415,47598.4,3197.13,1967.79,331.56,7612.01,302800,1,205748,0,1536052412,12,12,2.09298034714213,1.34604467746567,0.724264709168778,3.03454997885811
"40",39,1.96554121054966,521,310,63379719,310,19859057,30817363,0.0139255780920081,33397,33269,0,29288,2636,0.996167320418002,0,0.876964996856005,0.0789292451417792,34773.7,2247.84,1954.29,235.002,5671.42,83622,167,60884,0,329851212,9,16,1.66524203974435,1.18033364738462,0.300299170805305,2.61058444049464
"41",40,3.15131704356726,1418,50,98589534,50,25073460,3528950,0.00145110378638496,59998,59747,7,58119,972,0.995816527217574,0.00011667055568519,0.968682289409647,0.0162005400180006,36045.8,3105.08,1938.79,367.479,6180.71,81305,139319,62809,0,4538312235,31,83,2.81911812369971,1.11783788592426,0.332198919867552,2.64248418955688
"42",41,2.21843814287249,618,486,636717922,485,51843704,309000,9.67844600668365e-05,41031,40823,0,38815,1051,0.994930662182252,0,0.945992054787843,0.025614779069484,53051.3,3451.25,1932.17,370.928,7284.58,0,0,0,0,0,0,0,2.24626126955659,0.987613583931136,-0.027823126684102,2.28246214300523
"43",42,1.39692859384174,64298,60714,683521856,60713,73170,305430680,0.0825257760465566,29049,28926,0,23196,3199,0.99576577506971,0,0.798512857585459,0.110124272780474,49257.8,2070.87,1650.09,230.09,6486.89,117841,0,62808,0,333367651,3,8,1.53682242071716,0.90897202891526,-0.139893826875422,2.17039144281391
"44",43,3.21990538848185,56,84,148587958,122,82622880,12400,5.09089973708997e-06,51737,51608,0,50445,686,0.997506620020488,0,0.975027543150936,0.0132593695034501,42002.6,3430.65,2182.42,331.502,6063.45,85860,3003,62730,0,6017326295,45,79,3.03444986231041,1.06111668822573,0.185455526171438,2.49574079586077
"45",44,4.5835526752986,84,143,101274418,142,43178051,42000,1.58247880492036e-05,76910,75799,902,75490,731,0.985554544272526,0.011727993758939,0.981536861266415,0.0095046157846834,41515.7,5026.85,2199.35,639.402,7117.04,101998,350961,67354,0,9417386816,65,738,3.28455640137815,1.39548606118482,1.29899627392045,3.60928154360978
"46",45,3.29027151492031,146412,7132,193221680,7131,44127,167892170,0.0677267050273204,56003,55850,32,53095,1231,0.997268003499812,0.000571397960823527,0.948074210310162,0.0219809653054301,36897,3298.1,2057.77,350.54,6126.82,117505,419378,61498,414012,6636523050,10,113,2.28752708080024,1.43835303307941,1.00274443412007,3.3130297038094
"47",46,2.77485148766941,523,194,141887063,194,10602503,9510001,0.00390541129177427,48234,48130,0,46285,1043,0.997843844590952,0,0.959592818343907,0.0216237508811212,43912.7,3025.06,2018.51,292.969,5919.77,0,0,0,0,0,0,0,2.55522763330169,1.08595079808367,0.219623854367716,2.52990912405705
